Index,Spring Number,Strain,Energy
0,0,0.0,0.0
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.004987562360848186,2154.3055949610452
0,4,-0.09999999972222207,866025.3989731838
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.005396551441653852,2522.105645095936
1,4,-0.0995433238346386,858133.6018043185
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.006614545685126538,3789.0529333291142
2,4,-0.09818358654054526,834849.9325630834
3,0,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.0
3,3,0.008618668170350174,6432.9614962221585
3,4,-0.09594711560565694,797249.9091380623
4,0,0.0,0.0
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.01137146286449986,11198.589017737906
4,4,-0.09287694555993176,747044.5132597097
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.014821855568064812,19025.48714395935
5,4,-0.0890316149620719,686466.1615106299
6,0,0.0,0.0
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.01890643255804081,30956.354499796995
6,4,-0.08448357835145659,618123.4678460384
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.023550977960435704,48033.974563780685
7,4,-0.07931731607259784,544837.0741898871
8,0,0.0,0.0
8,1,0.0,0.0
8,2,0.0,0.0
8,3,0.028672203576646904,71195.53777073526
8,4,-0.07362723355485279,469469.73182759265
9,0,0.0,0.0
9,1,0.0,0.0
9,2,0.0,0.0
9,3,0.03417960279064469,101173.00616885538
9,4,-0.06751544204302451,394763.38347110525
10,0,0.0,0.0
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.039977362799422655,138407.27385819843
10,4,-0.06108950632382293,323194.4265070293
11,0,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.04596627579190171,182982.3785431722
11,4,-0.054460233467686914,256855.9492938277
12,0,0.0,0.0
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.05204559866313496,234584.14109740822
12,4,-0.047739562059583185,197372.88672608678
13,0,0.0,0.0
13,1,0.0,0.0
13,2,0.0,0.0
13,3,0.05811482116444311,292485.56891777844
13,4,-0.0410385957882029,145853.0838334428
14,0,0.0,0.0
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.06407531295377544,355559.35012267216
14,4,-0.03446581021815931,102874.47130331393
15,0,0.0,0.0
15,1,0.0,0.0
15,2,0.0,0.0
15,3,0.06983182995055515,422315.94358550577
15,4,-0.02812544823143237,68506.1461328575
16,0,0.0,0.0
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.07529386911347302,490964.2403071971
16,4,-0.02211610865449709,42359.23044636817
17,0,0.0,0.0
17,1,0.0,0.0
17,2,0.0,0.0
17,3,0.08037686791082366,559490.5934851238
17,4,-0.016529524227187786,23661.99391927966
18,0,0.0,0.0
18,1,0.0,0.0
18,2,0.0,0.0
18,3,0.08500325022799826,625751.2064093726
18,4,-0.011449519242785144,11352.856133150206
19,0,0.0,0.0
19,1,0.0,0.0
19,2,0.0,0.0
19,3,0.089103324310567,687572.4172033296
19,4,-0.0069511336171173,4184.483938219878
20,0,0.0,0.0
20,1,0.0,0.0
20,2,0.0,0.0
20,3,0.09261604073797436,742853.2954542404
20,4,-0.0030998984462248247,832.195886077518
21,0,0.0,0.0
21,1,0.0,0.0
21,2,0.0,0.0
21,3,0.0954896195833903,789665.1248625106
21,4,4.8752119096162616e-05,0.20583424337036155
22,0,0.0,0.0
22,1,0.0,0.0
22,2,0.0,0.0
22,3,0.09768205607777158,826342.7410342988
22,4,0.002449946997416852,519.8092570889982
23,0,0.0,0.0
23,1,0.0,0.0
23,2,0.0,0.0
23,3,0.09916151348796842,851563.2781315095
23,4,0.004069734995115981,1434.375613413959
24,0,0.0,0.0
24,1,0.0,0.0
24,2,0.0,0.0
24,3,0.09990661074037588,864408.6096676528
24,4,0.004885342887625654,2066.906036362806
25,0,0.0,0.0
25,1,0.0,0.0
25,2,0.0,0.0
25,3,0.0999066107403761,864408.6096676566
25,4,0.004885342887625654,2066.906036362806
26,0,0.0,0.0
26,1,0.0,0.0
26,2,0.0,0.0
26,3,0.09916151348796864,851563.2781315134
26,4,0.004069734995115981,1434.375613413959
27,0,0.0,0.0
27,1,0.0,0.0
27,2,0.0,0.0
27,3,0.09768205607777158,826342.7410342988
27,4,0.002449946997416852,519.8092570889982
28,0,0.0,0.0
28,1,0.0,0.0
28,2,0.0,0.0
28,3,0.0954896195833903,789665.1248625106
28,4,4.8752119096162616e-05,0.20583424337036155
29,0,0.0,0.0
29,1,0.0,0.0
29,2,0.0,0.0
29,3,0.09261604073797436,742853.2954542404
29,4,-0.0030998984462248247,832.195886077518
30,0,0.0,0.0
30,1,0.0,0.0
30,2,0.0,0.0
30,3,0.08910332431056678,687572.4172033261
30,4,-0.0069511336171173,4184.483938219878
31,0,0.0,0.0
31,1,0.0,0.0
