0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000021e-02
0.000000000000000000e+00,0.000000000000000000e+00,-3.667700000000000127e-02
0.000000000000000000e+00,0.000000000000000000e+00,-6.139200000000000212e-02
0.000000000000000000e+00,0.000000000000000000e+00,-8.414500000000001145e-02
0.000000000000000000e+00,0.000000000000000000e+00,-1.049360000000000154e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.237650000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.406320000000000070e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.555370000000000086e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.684799999999999909e-01
0.000000000000000000e+00,0.000000000000000000e+00,-1.794610000000000094e-01
